iter	Passed	Remaining
0	55	55471
1	91	45826
2	128	42771
3	161	40094
4	210	41942
5	260	43162
6	310	44012
7	366	45405
8	408	44959
9	452	44806
10	488	43938
11	525	43265
12	561	42658
13	598	42172
14	632	41514
15	676	41624
16	713	41258
17	749	40883
18	785	40565
19	817	40081
20	854	39842
21	891	39627
22	942	40017
23	992	40352
24	1032	40269
25	1068	40014
26	1102	39720
27	1138	39520
28	1182	39609
29	1214	39281
30	1250	39081
31	1286	38930
32	1318	38630
33	1350	38377
34	1396	38502
35	1458	39049
36	1504	39162
37	1554	39356
38	1586	39093
39	1641	39386
40	1684	39389
41	1726	39378
42	1765	39292
43	1801	39138
44	1844	39149
45	1902	39449
46	1956	39679
47	2019	40062
48	2077	40312
49	2121	40301
50	2156	40121
51	2192	39970
52	2225	39757
53	2274	39853
54	2335	40125
55	2384	40202
56	2434	40273
57	2479	40275
58	2514	40107
59	2564	40176
60	2621	40361
61	2683	40603
62	2741	40767
63	2781	40682
64	2828	40687
65	2870	40616
66	2912	40556
67	2955	40513
68	2995	40417
69	3038	40374
70	3072	40197
71	3107	40048
72	3142	39904
73	3178	39777
74	3223	39760
75	3256	39587
76	3291	39450
77	3327	39327
78	3382	39430
79	3439	39554
80	3496	39666
81	3547	39715
82	3594	39710
83	3630	39588
84	3676	39579
85	3721	39547
86	3799	39871
87	3864	40053
88	3955	40489
89	4020	40646
90	4086	40821
91	4126	40729
92	4174	40717
93	4226	40735
94	4267	40653
95	4305	40546
96	4342	40421
97	4379	40308
98	4424	40265
99	4461	40153
100	4501	40064
101	4536	39940
102	4573	39828
103	4643	40007
104	4679	39885
105	4713	39755
106	4749	39638
107	4787	39542
108	4824	39435
109	4879	39475
110	4926	39457
111	4978	39471
112	5039	39556
113	5096	39610
114	5151	39644
115	5211	39717
116	5268	39761
117	5322	39784
118	5370	39759
119	5421	39759
120	5467	39716
121	5505	39620
122	5550	39574
123	5582	39439
124	5619	39334
125	5657	39243
126	5692	39130
127	5728	39028
128	5775	38993
129	5821	38962
130	5869	38939
131	5907	38845
132	5951	38797
133	5989	38710
134	6043	38721
135	6109	38812
136	6194	39018
137	6289	39288
138	6347	39318
139	6392	39265
140	6441	39243
141	6483	39172
142	6524	39102
143	6568	39043
144	6609	38970
145	6650	38903
146	6702	38895
147	6749	38857
148	6795	38813
149	6840	38761
150	6883	38704
151	6957	38812
152	7012	38821
153	7063	38800
154	7112	38776
155	7163	38756
156	7222	38781
157	7302	38917
158	7357	38917
159	7421	38963
160	7477	38968
161	7525	38930
162	7577	38911
163	7630	38899
164	7681	38871
165	7731	38842
166	7775	38784
167	7821	38734
168	7887	38784
169	7940	38767
170	7982	38700
171	8023	38623
172	8063	38544
173	8107	38486
174	8145	38400
175	8187	38333
176	8241	38321
177	8294	38302
178	8346	38281
179	8383	38191
180	8421	38107
181	8474	38087
182	8538	38121
183	8592	38104
184	8632	38031
185	8683	38002
186	8768	38121
187	8812	38060
188	8848	37969
189	8891	37907
190	8927	37813
191	8965	37731
192	9014	37691
193	9058	37636
194	9100	37569
195	9153	37547
196	9209	37539
197	9259	37503
198	9297	37424
199	9331	37327
200	9374	37263
201	9411	37179
202	9450	37103
203	9488	37022
204	9523	36932
205	9565	36868
206	9623	36866
207	9679	36858
208	9740	36864
209	9790	36832
210	9837	36786
211	9882	36734
212	9921	36658
213	9961	36587
214	10001	36518
215	10037	36433
216	10071	36341
217	10118	36295
218	10172	36278
219	10225	36252
220	10280	36237
221	10376	36364
222	10431	36347
223	10487	36330
224	10537	36297
225	10591	36271
226	10652	36276
227	10696	36216
228	10768	36253
229	10841	36295
230	10910	36321
231	10977	36339
232	11027	36302
233	11078	36266
234	11115	36183
235	11155	36114
236	11198	36052
237	11233	35966
238	11269	35883
239	11312	35823
240	11346	35733
241	11385	35663
242	11418	35571
243	11452	35484
244	11486	35398
245	11521	35314
246	11564	35254
247	11600	35174
248	11635	35092
249	11677	35033
250	11727	34994
251	11775	34951
252	11824	34912
