iter	Passed	Remaining
0	66	66482
1	84	41918
2	101	33662
3	116	29095
4	132	26465
5	148	24541
6	162	22983
7	182	22649
8	197	21750
9	213	21156
10	226	20375
11	240	19815
12	253	19225
13	267	18859
14	281	18454
15	294	18135
16	310	17936
17	323	17623
18	334	17292
19	350	17153
20	365	17035
21	379	16892
22	393	16723
23	406	16538
24	418	16323
25	432	16216
26	448	16160
27	463	16089
28	479	16042
29	492	15913
30	507	15856
31	518	15681
32	532	15601
33	547	15549
34	563	15531
35	577	15471
36	590	15367
37	605	15326
38	617	15223
39	630	15133
40	645	15098
41	659	15051
42	674	15007
43	686	14913
44	698	14825
45	712	14768
46	726	14739
47	744	14761
48	758	14716
49	770	14639
50	786	14628
51	798	14559
52	811	14506
53	826	14471
54	839	14416
55	872	14705
56	892	14757
57	910	14780
58	927	14787
59	944	14792
60	962	14810
61	979	14818
62	993	14779
63	1009	14764
64	1024	14735
65	1039	14710
66	1053	14676
67	1067	14636
68	1078	14554
69	1093	14521
70	1107	14486
71	1120	14448
72	1135	14422
73	1149	14388
74	1160	14315
75	1174	14278
76	1189	14252
77	1202	14215
78	1216	14186
79	1230	14153
80	1248	14163
81	1260	14114
82	1273	14067
83	1287	14044
84	1306	14068
85	1323	14063
86	1337	14038
87	1352	14018
88	1363	13957
89	1375	13905
90	1389	13881
91	1404	13856
92	1419	13839
93	1432	13806
94	1445	13767
95	1456	13715
96	1471	13697
97	1485	13670
98	1498	13640
99	1511	13602
100	1521	13545
101	1535	13520
102	1551	13514
103	1566	13495
104	1581	13480
105	1594	13446
106	1605	13399
107	1619	13377
108	1633	13354
109	1646	13323
110	1658	13285
111	1669	13238
112	1684	13220
113	1698	13202
114	1712	13179
115	1725	13149
116	1741	13143
117	1752	13102
118	1767	13083
119	1782	13071
120	1798	13064
121	1813	13049
122	1825	13017
123	1838	12984
124	1851	12958
125	1865	12941
126	1880	12925
127	1894	12903
128	1914	12926
129	1929	12911
130	1947	12918
131	1963	12914
132	1979	12906
133	1994	12887
134	2008	12868
135	2025	12867
136	2039	12846
137	2053	12829
138	2067	12805
139	2083	12796
140	2099	12788
141	2114	12779
142	2130	12770
143	2146	12759
144	2163	12756
145	2180	12753
146	2197	12751
147	2214	12746
148	2229	12734
149	2244	12719
150	2260	12708
151	2274	12689
152	2287	12663
153	2299	12632
154	2312	12607
155	2327	12589
156	2341	12571
157	2356	12558
158	2368	12528
159	2379	12492
160	2394	12478
161	2409	12463
162	2423	12443
163	2435	12417
164	2451	12405
165	2469	12406
166	2480	12372
167	2493	12348
168	2508	12333
169	2522	12316
170	2538	12306
171	2552	12289
172	2565	12263
173	2577	12233
174	2592	12219
175	2607	12206
176	2621	12191
177	2637	12180
178	2653	12172
179	2667	12153
180	2682	12139
181	2694	12108
182	2707	12087
183	2722	12071
184	2739	12067
185	2753	12051
186	2770	12044
187	2784	12025
188	2797	12003
189	2807	11969
190	2822	11955
191	2836	11938
192	2853	11930
193	2867	11912
194	2882	11899
195	2894	11872
196	2906	11846
197	2920	11830
198	2935	11816
199	2951	11805
200	2966	11792
201	2983	11785
202	2998	11771
203	3011	11750
204	3023	11723
205	3037	11709
206	3053	11698
207	3070	11691
208	3085	11676
209	3099	11660
210	3114	11646
211	3127	11625
212	3141	11607
213	3153	11582
214	3168	11568
215	3184	11558
216	3200	11548
217	3216	11538
218	3232	11526
219	3248	11515
220	3264	11505
221	3279	11494
222	3293	11475
223	3306	11453
224	3318	11431
225	3333	11417
226	3348	11401
227	3362	11385
228	3378	11374
229	3391	11354
230	3405	11335
231	3418	11316
232	3432	11300
233	3448	11287
234	3463	11274
235	3479	11263
236	3494	11249
237	3508	11231
238	3521	11211
239	3533	11188
240	3547	11171
241	3562	11157
242	3573	11132
243	3586	11113
244	3598	11090
245	3612	11071
246	3627	11057
247	3641	11041
248	3655	11025
249	3668	11005
250	3680	10983
251	3694	10965
252	3708	10948
253	3721	10930
254	3733	10909
255	3745	10886
256	3760	10871
257	3775	10858
258	3791	10846
259	3806	10832
260	3821	10819
261	3832	10794
262	3844	10773
263	3859	10759
264	3874	10747
265	3891	10737
266	3906	10724
267	3922	10714
268	3938	10702
269	3954	10690
270	3967	10672
271	3989	10677
272	4006	10670
273	4024	10662
274	4041	10655
275	4058	10647
276	4076	10640
277	4092	10629
278	4109	10619
279	4126	10609
280	4141	10597
281	4157	10586
282	4175	10577
283	4191	10567
284	4208	10558
285	4224	10546
286	4243	10542
287	4258	10528
288	4278	10525
289	4292	10510
290	4310	10501
291	4325	10486
292	4340	10472
293	4356	10460
294	4372	10449
295	4388	10438
296	4405	10428
297	4422	10417
298	4437	10404
299	4453	10392
300	4472	10385
301	4488	10373
302	4505	10363
303	4520	10349
304	4536	10337
305	4553	10327
306	4570	10317
307	4587	10307
308	4601	10290
309	4620	10283
310	4636	10271
311	4652	10259
312	4668	10246
313	4685	10236
314	4702	10226
315	4719	10215
316	4735	10204
317	4752	10193
318	4770	10183
319	4785	10169
320	4804	10163
321	4830	10170
322	4851	10169
323	4869	10160
324	4883	10142
325	4900	10131
326	4917	10121
327	4935	10111
328	4951	10097
329	4970	10091
330	4986	10078
331	5001	10062
332	5016	10047
333	5033	10036
334	5050	10025
335	5066	10011
336	5081	9997
337	5100	9989
338	5118	9980
339	5133	9965
340	5151	9955
341	5169	9946
342	5192	9945
343	5211	9937
344	5228	9925
345	5246	9915
346	5263	9904
347	5280	9893
348	5296	9879
349	5312	9866
350	5331	9857
351	5346	9841
352	5361	9827
353	5379	9817
354	5395	9803
355	5411	9788
356	5427	9775
357	5445	9765
358	5462	9754
359	5478	9738
360	5494	9725
361	5511	9713
362	5529	9703
363	5544	9688
364	5561	9675
365	5576	9659
366	5592	9645
367	5609	9633
368	5626	9621
369	5642	9607
370	5659	9594
371	5676	9583
372	5693	9570
373	5709	9556
374	5726	9543
375	5741	9529
376	5759	9517
377	5776	9504
378	5793	9492
379	5809	9478
380	5826	9466
381	5845	9456
382	5859	9439
383	5874	9424
384	5891	9411
385	5908	9399
386	5925	9385
387	5941	9371
388	5957	9358
389	5976	9348
390	5991	9332
391	6006	9316
392	6024	9304
393	6041	9291
394	6059	9281
395	6080	9274
396	6099	9265
397	6118	9254
398	6137	9245
399	6155	9232
400	6172	9220
401	6190	9208
402	6208	9196
403	6227	9187
404	6247	9177
405	6262	9161
406	6280	9150
407	6298	9138
408	6316	9126
409	6333	9113
410	6353	9105
411	6371	9092
412	6389	9081
413	6408	9070
414	6427	9060
415	6451	9056
416	6468	9043
417	6488	9033
418	6506	9022
419	6527	9014
420	6546	9004
421	6564	8991
422	6583	8980
423	6600	8966
424	6619	8955
425	6634	8939
426	6654	8929
427	6671	8916
428	6692	8907
429	6709	8893
430	6728	8882
431	6747	8871
432	6765	8859
433	6785	8848
434	6803	8837
435	6820	8823
436	6840	8812
437	6858	8800
438	6875	8786
439	6893	8774
440	6912	8761
441	6930	8748
442	6947	8734
443	6967	8724
444	6987	8715
445	7005	8702
446	7023	8688
447	7043	8677
448	7064	8668
449	7080	8653
450	7096	8638
451	7116	8627
452	7133	8614
453	7151	8600
454	7169	8587
455	7194	8582
456	7215	8573
457	7236	8563
458	7257	8554
459	7278	8544
460	7296	8531
461	7316	8520
462	7337	8510
463	7358	8499
464	7377	8488
465	7396	8475
466	7418	8466
467	7435	8452
468	7454	8439
469	7472	8426
470	7492	8415
471	7508	8399
472	7528	8387
473	7542	8369
474	7556	8351
475	7572	8335
476	7588	8320
477	7606	8306
478	7622	8291
479	7639	8275
480	7656	8261
481	7670	8243
482	7686	8227
483	7702	8212
484	7720	8197
485	7735	8181
486	7751	8165
487	7769	8151
488	7785	8135
489	7799	8117
490	7813	8100
491	7828	8083
492	7842	8065
493	7855	8045
494	7869	8028
495	7887	8014
496	7902	7997
497	7916	7980
498	7932	7964
499	7949	7949
500	7964	7933
501	7981	7917
502	7996	7900
503	8012	7885
504	8028	7869
505	8046	7856
506	8063	7841
507	8079	7825
508	8094	7808
509	8112	7793
510	8126	7776
511	8142	7760
512	8155	7741
513	8167	7722
514	8183	7706
515	8198	7690
516	8215	7674
517	8231	7659
518	8247	7643
519	8263	7628
520	8280	7612
521	8296	7597
522	8312	7581
523	8329	7566
524	8345	7550
525	8360	7534
526	8376	7518
527	8394	7504
528	8410	7488
529	8427	7473
530	8442	7456
531	8456	7439
532	8469	7420
533	8483	7403
534	8497	7385
535	8511	7368
536	8532	7356
537	8545	7338
538	8561	7322
539	8577	7306
540	8592	7290
541	8607	7273
542	8623	7257
543	8639	7241
544	8655	7225
545	8671	7210
546	8686	7194
547	8701	7177
548	8715	7160
549	8730	7142
550	8745	7126
551	8760	7109
552	8777	7094
553	8791	7077
554	8806	7061
555	8822	7045
556	8838	7029
557	8854	7013
558	8870	6998
559	8886	6982
560	8904	6967
561	8920	6952
562	8938	6937
563	8954	6922
564	8971	6907
565	8986	6890
566	9002	6875
567	9019	6860
568	9036	6844
569	9052	6829
570	9067	6812
571	9080	6794
572	9097	6779
573	9114	6764
574	9128	6747
575	9144	6731
576	9155	6712
577	9170	6695
578	9189	6681
579	9203	6664
580	9219	6648
581	9234	6632
582	9251	6617
583	9266	6601
584	9282	6585
585	9299	6569
586	9314	6553
587	9328	6536
588	9345	6521
589	9360	6504
590	9375	6488
591	9388	6470
592	9405	6455
593	9419	6437
594	9433	6421
595	9451	6406
596	9466	6390
597	9483	6374
598	9499	6359
599	9515	6343
600	9530	6327
601	9547	6312
602	9562	6296
603	9579	6280
604	9593	6263
605	9607	6246
606	9620	6229
607	9635	6212
608	9650	6196
609	9665	6179
610	9681	6163
611	9695	6147
612	9713	6132
613	9729	6116
614	9748	6102
615	9768	6089
616	9785	6074
617	9798	6056
618	9813	6040
619	9829	6024
620	9845	6008
621	9860	5992
622	9878	5977
623	9893	5961
624	9910	5946
625	9927	5931
626	9941	5914
627	9958	5898
628	9974	5883
629	9990	5867
630	10005	5851
631	10021	5835
632	10038	5820
633	10053	5803
634	10072	5789
635	10100	5780
636	10125	5769
637	10147	5757
638	10162	5741
639	10179	5725
640	10196	5710
641	10210	5693
642	10223	5676
643	10237	5659
644	10252	5642
645	10269	5627
646	10285	5611
647	10301	5595
648	10317	5580
649	10332	5563
650	10348	5547
651	10361	5530
652	10377	5514
653	10391	5497
654	10405	5480
655	10425	5466
656	10448	5454
657	10467	5440
658	10485	5425
659	10500	5409
660	10517	5393
661	10533	5378
662	10549	5362
663	10566	5346
664	10582	5331
665	10598	5315
666	10614	5299
667	10629	5282
